train_loss,val_loss,train_f1,val_f1,val_recall,val_precision,val_balanced_acc,val_mcc,learning_rates,epochs
0.07360357965703483,0.07709120721979575,0.5986489125606455,0.0930232549178718,0.9902912620397776,0.04880382775096266,0.4951456310198888,-0.09609846145318236,0.001,1
0.07309050378095996,0.08344697263656241,0.6177621237757098,0.08428767660811305,0.8932038834084268,0.044230769230556584,0.4466019417042134,-0.31948778086330004,0.001,2
0.07321864530981124,0.0821424527940425,0.603237263533302,0.07900780800913379,0.8349514562296164,0.041465766634322734,0.4174757281148082,-0.3977495182816617,0.001,3
0.07361908861108728,0.08134670928120613,0.6034691361868897,0.07103320942640608,0.7475728154614008,0.03728813559303977,0.3737864077307004,-0.4929651563591379,0.001,4
0.07411860557155567,0.08265566289650672,0.5989249488357531,0.08866544699963488,0.9417475727241023,0.04652278177435721,0.4708737863620511,-0.23567427145681713,0.001,5
0.07406822595376152,0.08640165130297343,0.594348406499306,0.0938924330149642,0.9999999999029127,0.04925872788116089,0.49999999995145633,0.0,0.001,6
0.07404754153108811,0.08140750872817906,0.5963027940878757,0.08604118903221361,0.912621359134697,0.04514889529277066,0.4563106795673485,-0.2888487349347429,0.0005,7
0.0738979858589602,0.08398568681017919,0.6065455991308721,0.08953860120380966,0.9514563105872373,0.046979865771586866,0.47572815529361867,-0.2150886173464973,0.0005,8
0.0740403568221105,0.084463038735769,0.603138545840943,0.07724137840736056,0.8155339805033462,0.04054054054034489,0.4077669902516731,-0.42069902219863786,0.0005,9
0.07406682219054248,0.07787724245678294,0.5960703159539439,0.09215328377507043,0.9805825241766425,0.04834849210125252,0.49029126208832124,-0.1359362720405015,0.0005,10
0.07400887885743433,0.07950496933225429,0.5989039349945765,0.09041095800688477,0.9611650484503724,0.047436511739111474,0.4805825242251862,-0.19233501195996233,0.0005,11
0.0739676068360741,0.07722354262615695,0.5935912014431982,0.09041095800688477,0.9611650484503724,0.047436511739111474,0.4805825242251862,-0.19233501195996233,0.0005,12
0.07399440875595754,0.08212817635274294,0.6039102053462747,0.09215328377507043,0.9805825241766425,0.04834849210125252,0.49029126208832124,-0.1359362720405015,0.00025,13
0.07379758361357826,0.08086533991224838,0.6054687453805074,0.09215328377507043,0.9805825241766425,0.04834849210125252,0.49029126208832124,-0.1359362720405015,0.00025,14
0.07390186794706292,0.08039363970359166,0.602268036618689,0.08604118903221361,0.912621359134697,0.04514889529277066,0.4563106795673485,-0.2888487349347429,0.00025,15
0.07383362421984072,0.08203727887435393,0.5979722693504603,0.08866544699963488,0.9417475727241023,0.04652278177435721,0.4708737863620511,-0.23567427145681713,0.00025,16
0.07396251117592459,0.08107504406661699,0.6026661109102097,0.0930232549178718,0.9902912620397776,0.04880382775096266,0.4951456310198888,-0.09609846145318236,0.00025,17
0.07385328844995112,0.08278759992258115,0.612030843692082,0.0938924330149642,0.9999999999029127,0.04925872788116089,0.49999999995145633,0.0,0.00025,18
0.07347125885588629,0.08070333781793262,0.6391212289245813,0.0938924330149642,0.9999999999029127,0.04925872788116089,0.49999999995145633,0.0,0.000125,19
0.07329668171770938,0.08174306199406133,0.6473004061214466,0.0938924330149642,0.9999999999029127,0.04925872788116089,0.49999999995145633,0.0,0.000125,20
0.07323927979345794,0.08207031299896313,0.6489722564459965,0.0938924330149642,0.9999999999029127,0.04925872788116089,0.49999999995145633,0.0,0.000125,21
0.07325401392068949,0.0812717487640453,0.6458957413783369,0.0938924330149642,0.9999999999029127,0.04925872788116089,0.49999999995145633,0.0,0.000125,22
0.07318529342343141,0.08144364274586692,0.647240174443048,0.0938924330149642,0.9999999999029127,0.04925872788116089,0.49999999995145633,0.0,0.000125,23
0.07320969350434639,0.08079212452426102,0.6451999954285409,0.0938924330149642,0.9999999999029127,0.04925872788116089,0.49999999995145633,0.0,0.000125,24
0.07307747634010273,0.08381215307974454,0.6520059389412164,0.0938924330149642,0.9999999999029127,0.04925872788116089,0.49999999995145633,0.0,6.25e-05,25
0.07316476002604037,0.08288446243739489,0.6496815240903537,0.0938924330149642,0.9999999999029127,0.04925872788116089,0.49999999995145633,0.0,6.25e-05,26
